"","shockfreq","impact","duration","span","lifem","copies","lost midmean","median","Nreps"
"225",50000,100,10000,1,30,2,354.909090909091,337,21
"226",50000,100,10000,1,30,3,24.2727272727273,5,21
"227",50000,100,10000,1,30,4,0.727272727272727,1,21
"228",50000,100,10000,1,30,5,0,0,21
"229",50000,100,10000,1,50,2,224.272727272727,217,21
"230",50000,100,10000,1,50,3,18.7272727272727,2,21
"231",50000,100,10000,1,50,4,0,0,21
"232",50000,100,10000,1,50,5,0,0,21
"233",50000,100,10000,1,100,2,113.636363636364,106,21
"234",50000,100,10000,1,100,3,7.63636363636364,1,21
"235",50000,100,10000,1,100,4,0,0,21
"236",50000,100,10000,1,100,5,0,0,21
"237",50000,100,10000,1,200,2,55.0909090909091,52,21
"238",50000,100,10000,1,200,3,5.09090909090909,1,21
"239",50000,100,10000,1,200,4,0,0,21
"240",50000,100,10000,1,200,5,0,0,21
"241",50000,100,10000,1,300,2,39.5454545454545,36,21
"242",50000,100,10000,1,300,3,3.81818181818182,0,21
"243",50000,100,10000,1,300,4,0,0,21
"244",50000,100,10000,1,300,5,0,0,21
"245",50000,100,10000,1,500,2,23.0909090909091,25,21
"246",50000,100,10000,1,500,3,0.818181818181818,0,21
"247",50000,100,10000,1,500,4,0,0,21
"248",50000,100,10000,1,500,5,0,0,21
"249",50000,100,10000,1,1000,2,11.9090909090909,12,21
"250",50000,100,10000,1,1000,3,0.454545454545455,0,21
"251",50000,100,10000,1,1000,4,0,0,21
"252",50000,100,10000,1,1000,5,0,0,21
"253",50000,100,10000,2,10,2,10000,10000,21
"254",50000,100,10000,2,10,3,633.545454545455,680,21
"255",50000,100,10000,2,10,4,19.8181818181818,20,21
"256",50000,100,10000,2,10,5,0.909090909090909,1,21
"257",50000,100,10000,2,20,2,10000,10000,21
"258",50000,100,10000,2,20,3,236.545454545455,188,21
"259",50000,100,10000,2,20,4,21.0909090909091,6,21
"260",50000,100,10000,2,20,5,0,0,21
"261",50000,100,10000,2,30,2,10000,10000,21
"262",50000,100,10000,2,30,3,172.727272727273,181,21
"263",50000,100,10000,2,30,4,1.90909090909091,2,21
"264",50000,100,10000,2,30,5,0,0,21
"265",50000,100,10000,2,50,2,10000,10000,21
"266",50000,100,10000,2,50,3,142.181818181818,139,21
"267",50000,100,10000,2,50,4,0.363636363636364,0,21
"268",50000,100,10000,2,50,5,0,0,21
"269",50000,100,10000,2,100,2,10000,10000,21
"270",50000,100,10000,2,100,3,48.4545454545455,38,21
"271",50000,100,10000,2,100,4,0,0,21
"272",50000,100,10000,2,100,5,0,0,21
"273",50000,100,10000,2,200,2,10000,10000,21
"274",50000,100,10000,2,200,3,32.9090909090909,32,21
"275",50000,100,10000,2,200,4,0,0,21
"276",50000,100,10000,2,200,5,0,0,21
"277",50000,100,10000,2,300,2,10000,10000,21
"278",50000,100,10000,2,300,3,20.8181818181818,22,21
"279",50000,100,10000,2,300,4,0,0,21
"280",50000,100,10000,2,300,5,0,0,21
"281",50000,100,10000,2,500,2,10000,10000,21
"282",50000,100,10000,2,500,3,9.54545454545454,9,21
"283",50000,100,10000,2,500,4,0,0,21
"284",50000,100,10000,2,500,5,0,0,21
"285",50000,100,10000,2,1000,2,10000,10000,21
"286",50000,100,10000,2,1000,3,6.54545454545455,7,21
"287",50000,100,10000,2,1000,4,0,0,21
"288",50000,100,10000,2,1000,5,0,0,21
"289",50000,100,10000,3,10,2,10000,10000,21
"290",50000,100,10000,3,10,3,10000,10000,21
"291",50000,100,10000,3,10,4,403.454545454545,354,21
"292",50000,100,10000,3,10,5,16.5454545454545,14,21
"293",50000,100,10000,3,20,2,10000,10000,21
"294",50000,100,10000,3,20,3,10000,10000,21
"295",50000,100,10000,3,20,4,157.727272727273,170,21
"296",50000,100,10000,3,20,5,3.09090909090909,2,21
"297",50000,100,10000,3,30,2,10000,10000,21
"298",50000,100,10000,3,30,3,10000,10000,21
"299",50000,100,10000,3,30,4,132.363636363636,125,21
"300",50000,100,10000,3,30,5,1.54545454545455,2,21
"301",50000,100,10000,3,50,2,10000,10000,21
"302",50000,100,10000,3,50,3,10000,10000,21
"303",50000,100,10000,3,50,4,85.6363636363636,78,21
"304",50000,100,10000,3,50,5,0.636363636363636,1,21
"305",50000,100,10000,3,100,2,10000,10000,21
"306",50000,100,10000,3,100,3,10000,10000,21
"307",50000,100,10000,3,100,4,38.0909090909091,34,21
"308",50000,100,10000,3,100,5,0.0909090909090909,0,21
"309",50000,100,10000,3,200,2,10000,10000,21
"310",50000,100,10000,3,200,3,10000,10000,21
"311",50000,100,10000,3,200,4,18.1818181818182,20,21
"312",50000,100,10000,3,200,5,0,0,21
"313",50000,100,10000,3,300,2,10000,10000,21
"314",50000,100,10000,3,300,3,10000,10000,21
"315",50000,100,10000,3,300,4,14.3636363636364,13,21
"316",50000,100,10000,3,300,5,0,0,21
"317",50000,100,10000,3,500,2,10000,10000,21
"318",50000,100,10000,3,500,3,10000,10000,21
"319",50000,100,10000,3,500,4,7.63636363636364,7,21
"320",50000,100,10000,3,500,5,0,0,21
"321",50000,100,10000,3,1000,2,10000,10000,21
"322",50000,100,10000,3,1000,3,10000,10000,21
"323",50000,100,10000,3,1000,4,3.90909090909091,4,21
"324",50000,100,10000,3,1000,5,0,0,21
