# A tibble: 1,080 x 3
     lifem docsize mdmlosspct
     <int>   <int>      <dbl>
 683    20      50        0.0
 684    20      50        0.0
 685    20      50        0.0
 686    20      50        0.0
 687    20      50        0.0
 688    20      50        0.0
 689    20      50        0.0
 690    20      50        0.0
 691    20      50        0.0
 692    20      50        0.0
 693    20      50        0.0
 694    20      50        0.0
 695    20      50        0.0
 696    20      50        0.0
 697    30      50        0.0
 698    30      50        0.0
 699    30      50        0.0
 700    30      50        0.0
 701    30      50        0.0
 702    30      50        0.0
 703    30      50        0.0
 704    30      50        0.0
 705    30      50        0.0
 706    30      50        0.0
 707    30      50        0.0
 708    30      50        0.0
 709    30      50        0.0
 710    30      50        0.0
 711    30      50        0.0
 712    30      50        0.0
 713    30      50        0.0
 714    30      50        0.0
 715    30      50        0.0
 716    30      50        0.0
 717    30      50        0.0
 718    30      50        0.0
 719    30      50        0.0
 720    30      50        0.0
 721    50      50        0.0
 722    50      50        0.0
 723    50      50        0.0
 724    50      50        0.0
 725    50      50        0.0
 726    50      50        0.0
 727    50      50        0.0
 728    50      50        0.0
 729    50      50        0.0
 730    50      50        0.0
 731    50      50        0.0
 732    50      50        0.0
 733    50      50        0.0
 734    50      50        0.0
 735    50      50        0.0
 736    50      50        0.0
 737    50      50        0.0
 738    50      50        0.0
 739    50      50        0.0
 740    50      50        0.0
 741    50      50        0.0
 742    50      50        0.0
 743    50      50        0.0
 744    50      50        0.0
 745   100      50        0.0
 746   100      50        0.0
 747   100      50        0.0
 748   100      50        0.0
 749   100      50        0.0
 750   100      50        0.0
 751   100      50        0.0
 752   100      50        0.0
 753   100      50        0.0
 754   100      50        0.0
 755   100      50        0.0
 756   100      50        0.0
 757   100      50        0.0
 758   100      50        0.0
 759   100      50        0.0
 760   100      50        0.0
 761   100      50        0.0
 762   100      50        0.0
 763   100      50        0.0
 764   100      50        0.0
 765   100      50        0.0
 766   100      50        0.0
 767   100      50        0.0
 768   100      50        0.0
 769   200      50        0.0
 770   200      50        0.0
 771   200      50        0.0
 772   200      50        0.0
 773   200      50        0.0
 774   200      50        0.0
 775   200      50        0.0
 776   200      50        0.0
 777   200      50        0.0
 778   200      50        0.0
 779   200      50        0.0
 780   200      50        0.0
 781   200      50        0.0
 782   200      50        0.0
 783   200      50        0.0
 784   200      50        0.0
 785   200      50        0.0
 786   200      50        0.0
 787   200      50        0.0
 788   200      50        0.0
 789   200      50        0.0
 790   200      50        0.0
 791   200      50        0.0
 792   200      50        0.0
 793   300      50        0.0
 794   300      50        0.0
 795   300      50        0.0
 796   300      50        0.0
 797   300      50        0.0
 798   300      50        0.0
 799   300      50        0.0
 800   300      50        0.0
 801   300      50        0.0
 802   300      50        0.0
 803   300      50        0.0
 804   300      50        0.0
 805   300      50        0.0
 806   300      50        0.0
 807   300      50        0.0
 808   300      50        0.0
 809   300      50        0.0
 810   300      50        0.0
 811   300      50        0.0
 812   300      50        0.0
 813   300      50        0.0
 814   300      50        0.0
 815   300      50        0.0
 816   300      50        0.0
 817   500      50        0.0
 818   500      50        0.0
 819   500      50        0.0
 820   500      50        0.0
 821   500      50        0.0
 822   500      50        0.0
 823   500      50        0.0
 824   500      50        0.0
 825   500      50        0.0
 826   500      50        0.0
 827   500      50        0.0
 828   500      50        0.0
 829   500      50        0.0
 830   500      50        0.0
 831   500      50        0.0
 832   500      50        0.0
 833   500      50        0.0
 834   500      50        0.0
 835   500      50        0.0
 836   500      50        0.0
 837   500      50        0.0
 838   500      50        0.0
 839   500      50        0.0
 840   500      50        0.0
 841  1000      50        0.0
 842  1000      50        0.0
 843  1000      50        0.0
 844  1000      50        0.0
 845  1000      50        0.0
 846  1000      50        0.0
 847  1000      50        0.0
 848  1000      50        0.0
 849  1000      50        0.0
 850  1000      50        0.0
 851  1000      50        0.0
 852  1000      50        0.0
 853  1000      50        0.0
 854  1000      50        0.0
 855  1000      50        0.0
 856  1000      50        0.0
 857  1000      50        0.0
 858  1000      50        0.0
 859  1000      50        0.0
 860  1000      50        0.0
 861  1000      50        0.0
 862  1000      50        0.0
 863  1000      50        0.0
 864  1000      50        0.0
 865    10      50        0.0
 866    10      50        0.0
 867    10      50        0.0
 868    10      50        0.0
 869    10      50        0.0
 870    10      50        0.0
 871    10      50        0.0
 872    10      50        0.0
 873    10      50        0.0
 874    10      50        0.0
 875    10      50        0.0
 876    10      50        0.0
 877    10      50        0.0
 878    10      50        0.0
 879    10      50        0.0
 880    10      50        0.0
 881    10      50        0.0
 882    10      50        0.0
 883    10      50        0.0
 884    10      50        0.0
 885    10      50        0.0
 886    10      50        0.0
 887    10      50        0.0
 888    10      50        0.0
 889    20      50        0.0
 890    20      50        0.0
 891    20      50        0.0
 892    20      50        0.0
 893    20      50        0.0
 894    20      50        0.0
 895    20      50        0.0
 896    20      50        0.0
 897    20      50        0.0
 898    20      50        0.0
 899    20      50        0.0
 900    20      50        0.0
 901    20      50        0.0
 902    20      50        0.0
 903    20      50        0.0
 904    20      50        0.0
 905    20      50        0.0
