timestamp docsize copies lifem seed lost auditrepairs auditlosses forensics walltime cputime
20140725_102252 50 2 5 141246882 874 14922 1575 0 35.682 31.854
20140725_102351 50 2 5 263688301 870 14902 1570 0 35.174 32.51
20140725_102333 50 2 5 420477893 890 15050 1611 0 34.677 31.902
20140725_102357 50 2 5 50746969 843 15138 1546 0 37.343 32.027
20140725_102403 50 2 5 533657980 878 14965 1628 0 37.292 32.588
20140725_102257 50 2 5 681028781 902 14940 1624 0 35.107 31.825
20140725_102241 50 2 5 919028296 877 15068 1577 0 34.786 32.478
20140725_102325 50 2 5 967561224 792 15139 1454 0 39.853 32.027
20140725_102427 50 3 5 103765041 75 25368 204 2228 52.966 48.983
20140725_102520 50 3 5 105731136 86 25513 228 2202 57.058 49.468
20140725_102506 50 3 5 117661523 78 25508 204 2210 53.636 49.327
20140725_102427 50 3 5 141246882 88 25326 233 2214 57.545 49.342
20140725_102600 50 3 5 263688301 99 25546 266 2326 52.452 49.389
20140725_102541 50 3 5 420477893 87 25416 231 2292 55.700 50.73
20140725_102606 50 3 5 50746969 86 25582 234 2344 64.315 49.452
20140725_102616 50 3 5 533657980 73 25571 195 2278 59.100 49.545
20140725_102447 50 3 5 681028781 93 25586 252 2277 53.599 49.218
20140725_102408 50 3 5 919028296 92 25471 249 2188 58.109 54.522
20140725_102527 50 3 5 967561224 78 25799 207 2286 54.600 49.718
20140725_102653 50 4 5 103765041 4 34399 16 267 72.880 66.393
20140725_102748 50 4 5 105731136 5 34607 20 281 90.822 66.94
20140725_102748 50 4 5 117661523 3 34074 12 257 74.727 66.675
20140725_102707 50 4 5 141246882 9 34110 32 256 72.236 67.034
20140725_102842 50 4 5 263688301 4 34186 16 256 85.722 66.426
20140725_102827 50 4 5 420477893 4 34630 16 284 77.222 67.111
20140725_102919 50 4 5 50746969 4 34637 12 280 72.716 67.08
20140725_102934 50 4 5 533657980 9 34173 28 265 70.877 66.129
20140725_102716 50 4 5 681028781 10 34574 40 278 82.104 66.83
20140725_102637 50 4 5 919028296 8 34303 32 290 70.380 66.582
20140725_102816 50 4 5 967561224 5 34422 20 271 76.991 66.877
20140725_103006 50 5 5 103765041 3 43037 10 671 94.397 87.017
20140725_103140 50 5 5 105731136 1 43192 5 696 113.024 84.599
20140725_103059 50 5 5 117661523 1 43245 5 708 116.988 84.521
20140725_103020 50 5 5 141246882 1 42823 5 650 114.256 84.833
20140725_103238 50 5 5 263688301 1 42930 5 647 131.690 91.261
20140725_103216 50 5 5 420477893 0 43211 0 716 106.599 84.489
20140725_103250 50 5 5 50746969 0 43440 0 703 235.961 113.756
20140725_103322 50 5 5 533657980 1 42944 0 671 106.643 85.098
20140725_103043 50 5 5 681028781 1 43259 5 695 92.850 84.74
20140725_102946 50 5 5 919028296 0 43061 0 700 119.164 87.656
20140725_103144 50 5 5 967561224 0 43433 0 687 96.743 84.864
20140725_103416 50 8 5 103765041 0 68674 0 18 179.234 134.411
20140725_103711 50 8 5 105731136 0 69118 0 19 333.119 169.338
20140725_103534 50 8 5 117661523 0 68437 0 24 161.118 134.488
20140725_103431 50 8 5 141246882 0 68646 0 26 434.882 165.423
20140725_103837 50 8 5 263688301 0 68946 0 31 160.993 135.144
20140725_103826 50 8 5 420477893 0 69149 0 28 152.741 134.894
20140725_104131 50 8 5 50746969 0 68621 0 18 172.275 134.613
20140725_104146 50 8 5 533657980 0 68786 0 26 223.268 136.517
20140725_103522 50 8 5 681028781 0 69060 0 21 383.022 160.384
20140725_103359 50 8 5 919028296 0 68802 0 33 246.296 147.967
20140725_103718 50 8 5 967561224 0 69314 0 22 294.814 145.784
