family specific logdir docsize berid copies logfilename timestamp lost
q0 v2d5 logb0002 5 0002 01 c01b0002s105731136.log 20140615_184347 2184
q0 v2d5 logb0002 5 0002 01 c01b0002s117661523.log 20140615_184343 2196
q0 v2d5 logb0002 5 0002 01 c01b0002s141246882.log 20140615_184330 2205
q0 v2d5 logb0002 5 0002 01 c01b0002s263688301.log 20140615_184407 2265
q0 v2d5 logb0002 5 0002 01 c01b0002s420477893.log 20140615_184355 2249
q0 v2d5 logb0002 5 0002 01 c01b0002s50746969.log 20140615_184429 2275
q0 v2d5 logb0002 5 0002 01 c01b0002s533657980.log 20140615_184433 2239
q0 v2d5 logb0002 5 0002 01 c01b0002s681028781.log 20140615_184334 2203
q0 v2d5 logb0002 5 0002 01 c01b0002s919028296.log 20140615_184313 2260
q0 v2d5 logb0002 5 0002 01 c01b0002s967561224.log 20140615_184352 2239
q0 v2d5 logb0002 5 0002 02 c02b0002s103765041.log 20140615_184523 504
q0 v2d5 logb0002 5 0002 02 c02b0002s105731136.log 20140615_184557 527
q0 v2d5 logb0002 5 0002 02 c02b0002s117661523.log 20140615_184553 492
q0 v2d5 logb0002 5 0002 02 c02b0002s141246882.log 20140615_184527 465
q0 v2d5 logb0002 5 0002 02 c02b0002s263688301.log 20140615_184644 516
q0 v2d5 logb0002 5 0002 02 c02b0002s420477893.log 20140615_184640 517
q0 v2d5 logb0002 5 0002 02 c02b0002s50746969.log 20140615_184650 526
q0 v2d5 logb0002 5 0002 02 c02b0002s533657980.log 20140615_184716 494
q0 v2d5 logb0002 5 0002 02 c02b0002s681028781.log 20140615_184533 508
q0 v2d5 logb0002 5 0002 02 c02b0002s919028296.log 20140615_184516 532
q0 v2d5 logb0002 5 0002 02 c02b0002s967561224.log 20140615_184634 518
q0 v2d5 logb0002 5 0002 03 c03b0002s103765041.log 20140615_184827 108
q0 v2d5 logb0002 5 0002 03 c03b0002s105731136.log 20140615_184905 112
q0 v2d5 logb0002 5 0002 03 c03b0002s117661523.log 20140615_184840 125
q0 v2d5 logb0002 5 0002 03 c03b0002s141246882.log 20140615_184830 108
q0 v2d5 logb0002 5 0002 03 c03b0002s263688301.log 20140615_185033 127
q0 v2d5 logb0002 5 0002 03 c03b0002s420477893.log 20140615_185028 121
q0 v2d5 logb0002 5 0002 03 c03b0002s50746969.log 20140615_185041 102
q0 v2d5 logb0002 5 0002 03 c03b0002s533657980.log 20140615_185043 112
q0 v2d5 logb0002 5 0002 03 c03b0002s681028781.log 20140615_184837 106
q0 v2d5 logb0002 5 0002 03 c03b0002s919028296.log 20140615_184758 112
q0 v2d5 logb0002 5 0002 03 c03b0002s967561224.log 20140615_184953 115
q0 v2d5 logb0002 5 0002 04 c04b0002s103765041.log 20140615_185224 27
q0 v2d5 logb0002 5 0002 04 c04b0002s105731136.log 20140615_185323 22
q0 v2d5 logb0002 5 0002 04 c04b0002s117661523.log 20140615_185319 22
q0 v2d5 logb0002 5 0002 04 c04b0002s141246882.log 20140615_185250 29
q0 v2d5 logb0002 5 0002 04 c04b0002s263688301.log 20140615_185521 32
q0 v2d5 logb0002 5 0002 04 c04b0002s420477893.log 20140615_185457 32
q0 v2d5 logb0002 5 0002 04 c04b0002s50746969.log 20140615_185558 25
q0 v2d5 logb0002 5 0002 04 c04b0002s533657980.log 20140615_185606 19
q0 v2d5 logb0002 5 0002 04 c04b0002s681028781.log 20140615_185313 22
q0 v2d5 logb0002 5 0002 04 c04b0002s919028296.log 20140615_185138 31
q0 v2d5 logb0002 5 0002 04 c04b0002s967561224.log 20140615_185415 17
q0 v2d5 logb0002 5 0002 05 c05b0002s103765041.log 20140615_185721 3
q0 v2d5 logb0002 5 0002 05 c05b0002s105731136.log 20140615_185920 4
q0 v2d5 logb0002 5 0002 05 c05b0002s117661523.log 20140615_185906 5
q0 v2d5 logb0002 5 0002 05 c05b0002s141246882.log 20140615_185805 4
q0 v2d5 logb0002 5 0002 05 c05b0002s263688301.log 20140615_190106 6
q0 v2d5 logb0002 5 0002 05 c05b0002s420477893.log 20140615_190023 8
q0 v2d5 logb0002 5 0002 05 c05b0002s50746969.log 20140615_190137 5
q0 v2d5 logb0002 5 0002 05 c05b0002s533657980.log 20140615_190152 8
q0 v2d5 logb0002 5 0002 05 c05b0002s681028781.log 20140615_185849 8
