timestamp docsize copies lifem seed lost auditinterval auditrepairs auditlosses auditforensics ndocs nokay nmajority nminority walltime cputime logfilename
20140809_133835 50 8 2 117661523 5043 0 0 0 0 10000 0 21 4936 354.813 224.127 ../Q0b/v4d50/logb0002/c08d50b0002s117661523.log
20140809_133744 50 8 2 141246882 5049 0 0 0 0 10000 0 24 4927 526.358 240.568 ../Q0b/v4d50/logb0002/c08d50b0002s141246882.log
20140809_134349 50 8 2 263688301 4987 0 0 0 0 10000 0 28 4985 403.929 224.907 ../Q0b/v4d50/logb0002/c08d50b0002s263688301.log
20140809_134347 50 8 2 420477893 5118 0 0 0 0 10000 0 25 4857 306.971 223.206 ../Q0b/v4d50/logb0002/c08d50b0002s420477893.log
20140809_134437 50 8 2 50746969 5000 0 0 0 0 10000 0 17 4983 295.138 223.706 ../Q0b/v4d50/logb0002/c08d50b0002s50746969.log
20140809_134505 50 8 2 533657980 5066 0 0 0 0 10000 0 19 4915 475.395 224.704 ../Q0b/v4d50/logb0002/c08d50b0002s533657980.log
20140809_133812 50 8 2 681028781 5053 0 0 0 0 10000 0 30 4917 329.154 224.283 ../Q0b/v4d50/logb0002/c08d50b0002s681028781.log
20140809_133641 50 8 2 919028296 4973 0 0 0 0 10000 0 20 5007 282.337 225.187 ../Q0b/v4d50/logb0002/c08d50b0002s919028296.log
20140809_134144 50 8 2 967561224 4986 0 0 0 0 10000 0 27 4987 449.956 226.31 ../Q0b/v4d50/logb0002/c08d50b0002s967561224.log
20140809_134939 50 10 2 103765041 4210 0 0 0 0 10000 0 8 5782 458.341 279.335 ../Q0b/v4d50/logb0002/c10d50b0002s103765041.log
20140809_135326 50 10 2 105731136 4272 0 0 0 0 10000 0 5 5723 788.041 311.379 ../Q0b/v4d50/logb0002/c10d50b0002s105731136.log
20140809_135117 50 10 2 117661523 4266 0 0 0 0 10000 0 5 5729 425.345 279.991 ../Q0b/v4d50/logb0002/c10d50b0002s117661523.log
20140809_134957 50 10 2 141246882 4216 0 0 0 0 10000 0 9 5775 331.509 278.664 ../Q0b/v4d50/logb0002/c10d50b0002s141246882.log
20140809_135838 50 10 2 263688301 4274 0 0 0 0 10000 0 8 5718 323.811 278.899 ../Q0b/v4d50/logb0002/c10d50b0002s263688301.log
20140809_135802 50 10 2 420477893 4232 0 0 0 0 10000 0 7 5761 399.001 281.722 ../Q0b/v4d50/logb0002/c10d50b0002s420477893.log
20140809_135908 50 10 2 50746969 4301 0 0 0 0 10000 0 8 5691 490.639 280.911 ../Q0b/v4d50/logb0002/c10d50b0002s50746969.log
20140809_140032 50 10 2 533657980 4223 0 0 0 0 10000 0 7 5770 444.171 279.959 ../Q0b/v4d50/logb0002/c10d50b0002s533657980.log
20140809_135012 50 10 2 681028781 4188 0 0 0 0 10000 0 15 5797 567.228 281.129 ../Q0b/v4d50/logb0002/c10d50b0002s681028781.log
20140809_134750 50 10 2 919028296 4197 0 0 0 0 10000 0 8 5795 642.875 284.093 ../Q0b/v4d50/logb0002/c10d50b0002s919028296.log
20140809_135610 50 10 2 967561224 4273 0 0 0 0 10000 0 9 5718 492.033 281.628 ../Q0b/v4d50/logb0002/c10d50b0002s967561224.log
20140809_151518 50 14 2 103765041 2963 0 0 0 0 10000 0 0 7037 750.713 411.312 ../Q0b/v4d50/logb0002/c14d50b0002s103765041.log
20140809_151611 50 14 2 105731136 3058 0 0 0 0 10000 0 0 6942 763.273 414.728 ../Q0b/v4d50/logb0002/c14d50b0002s105731136.log
20140809_151559 50 14 2 117661523 3005 0 0 0 0 10000 0 0 6995 497.732 394.527 ../Q0b/v4d50/logb0002/c14d50b0002s117661523.log
20140809_151528 50 14 2 141246882 3003 0 0 0 0 10000 0 1 6996 414.897 395.229 ../Q0b/v4d50/logb0002/c14d50b0002s141246882.log
20140809_152447 50 14 2 263688301 3058 0 0 0 0 10000 0 0 6942 432.587 395.321 ../Q0b/v4d50/logb0002/c14d50b0002s263688301.log
20140809_152314 50 14 2 420477893 2992 0 0 0 0 10000 0 1 7007 654.370 409.112 ../Q0b/v4d50/logb0002/c14d50b0002s420477893.log
20140809_152841 50 14 2 50746969 2944 0 0 0 0 10000 0 0 7056 802.693 430.221 ../Q0b/v4d50/logb0002/c14d50b0002s50746969.log
20140809_152911 50 14 2 533657980 2943 0 0 0 0 10000 0 1 7056 511.425 396.585 ../Q0b/v4d50/logb0002/c14d50b0002s533657980.log
20140809_151533 50 14 2 681028781 2991 0 0 0 0 10000 0 0 7009 957.229 437.645 ../Q0b/v4d50/logb0002/c14d50b0002s681028781.log
